0	Who has the highest goals in world football?
1	Who has the highest goals in men's world international football?
2	Who has the highest goals all-time in men's football?
3	Who has the highest goals in women's world international football?
4	Who is the original artist of sound of silence?
5	Who is the original artist of sound of silence, the song, released in 1964?
6	Who is the original artist of sound of silence, the album?
7	Who is the original artist of sound of silence, the song, released in 2016?
8	When was the first apple i phone made?
9	When was the first apple i phone released?
10	When was the first apple i phone for beta testing made?
11	When was the first apple i phone 1 made?
12	When was the first apple i phone beta made?
13	Who played the weasley brothers in harry potter?
14	Who played  Bill weasley in Harry Potter and the Prisoner of Azkaban?
15	Who played percy weasley in harry potter?
16	Who played fred weasley in harry potter?
17	Who played ron weasley in harry potter?
18	Who played george weasley in harry potter?
19	Who played  Bill weasley in harry potter (2001-2011)?
20	How many state parks are there in virginia?
21	How many state parks are there in virginia in 1936?
22	How many state parks are there in virginia in 2016?
23	How many state parks were there when the state park system formed in Virginia?
24	How many state parks were there in Virginia as of 2016?
25	Who performed at the champions league final 2018?
26	Who are the teams that performed in competition at the champions league final 2018?
27	Who performed best at the champions league final 2018, winning man of the match?
28	Who performed at the opening ceremony of the champions league final 2018?
29	Who performed the anthem at the champions league final 2018?
30	Who killed the man in thelma and louise?
31	Which character killed the man in thelma and louise?
32	Which actor killed the man in thelma and louise?
33	Who is the character that kills Harlan in the film Thelma and Louise?
34	Who is the actor of the character that killed a man in the film Thelma and Louise?
35	Who plays charlie on it's always sunny?
36	Who does Charlie Day play on It's Always Sunny in Philadelphia?
37	Who plays Charlie Kelly on It's Always Sunny in Philadelphia?
38	How many times have the lakers won the finals?
39	As of 2017, how many times have the lakers won the finals?
40	As of 2016, how many times have the Lakers won the finals?
41	As of 2015, how many times have the Lakers won the finals?
42	How many states in india are under congress?
43	How many states plus territories in india are under congress?
44	How many states alone in india are under congress?
45	Who is fruma sarah in fiddler on the roof?
46	Who played fruma sarah in the 1971 film, Fiddler on the Roof?
47	Who played Fruma Sarah in the original 1964 Broadway cast of Fiddler on the Roof?
48	Who is the character of Fruma Sarah in Fiddler on the Roof?
49	Who played Fruma Sarah in the 2015-2016 Broadway Revival of Fiddler on the Roof?
50	When did toronto host the mlb all-star game?
51	What date did toronto host the mlb all-star game?
52	Which all-star game did toronto host?
53	What kind of car in to catch a thief?
54	What kind of car in to catch a thief in terms of model?
55	What kind of car in to catch a thief in terms of automobile make?
56	When did the last season of jersey shore air?
57	When did season 4 of jersey shore first air?
58	When did season 4 of jersey shore last air?
59	When did season 5 of jersey shore first air?
60	When did season 5 of jersey shore last air?
61	When did season 6 of jersey shore first air?
62	When did season 6 of jersey shore last air?
63	What season of greys anatomy was the plane crash?
64	What season of Grey's Anatomy was the plane crash involving six doctors?
65	What season of Grey's Anatomy was the plane crash in Seattle that brought memories of a previous plane crash?
66	What season of Grey's Anatomy was the plane crash that claimed the life of Lexie Grey?
67	What season of Grey's Anatomy was the plane crash in downtown Seattle?
68	Number of branches of oriental bank of commerce in india?
69	As per the March 2018-2019 report, what is the number of branches of oriental bank of commerce in india?
70	What is the number of branches of oriental bank of commerce in india after amalgamation of Global Trust Bank?
71	Number of branches of oriental bank of commerce in india after expected merger with United Bank of India in 2020?
72	When did the rams go to st louis?
73	In what year did the rams go to St. Louis?
74	What was the first game the Rams played in St. Louis?
75	When did the voortrekkers arrive in south africa?
76	When did the first wave of voortrekkers arrive in south africa?
77	When did the voortrekkers exploratory treks arrive in south africa?
78	Who plays patrick in 10 things i hate about you?
79	Who plays patrick in  the 1999 film 10 things i hate about you?
80	Who plays patrick in the 2009 tv series 10 things i hate about you?
81	Who plays patrick in the film 10 things i hate about you?
82	Who plays patrick in the TV series 10 things i hate about you?
83	Microsoft live movie maker is an example of free?
84	Microsoft live movie maker is an example of a freely licensed software, often called free what?
85	Microsoft live movie maker is an example of free software used for what purpose?
86	Who is the chief minister of m. p?
87	Who is the 17th Chief Minister of MP?
88	Who is the 16th Chief Minister of MP?
89	Who is the 15th Chief Minister of MP?
90	Who is the 17th chief minister of m. p?
91	Who is the 16th chief minister of m. p?
92	Who is the 15th chief minister of m. p?
93	Who sings the song for stuck in the middle?
